Dependents,tenure,MonthlyCharges,TotalCharges,Churn
No,1,29.85,29.85,0
No,34,56.95,1889.5,0
No,2,53.85,108.15,0
No,2,70.7,151.65,0
No,8,99.65,820.5,0
Yes,22,89.1,1949.4,0
No,10,29.75,301.9,0
No,28,104.8,3046.05,0
Yes,62,56.15,3487.95,1
Yes,13,49.95,587.45,0
No,16,18.95,326.8,0
No,49,103.7,5036.3,0
Yes,69,113.25,7895.15,1
Yes,71,106.7,7382.25,1
Yes,10,55.2,528.35,0
No,21,90.05,1862.9,0
No,1,39.65,39.65,0
No,12,19.8,202.25,0
No,1,20.15,20.15,0
Yes,49,59.6,2970.3,0
No,30,55.3,1530.6,0
Yes,47,99.35,4749.15,1
Yes,1,30.2,30.2,0
Yes,17,64.7,1093.1,0
No,71,96.35,6766.95,1
No,2,95.5,181.65,0
Yes,27,66.15,1874.45,0
No,1,20.2,20.2,0
No,1,45.25,45.25,0
No,5,69.7,316.9,0
No,46,74.8,3548.3,0
No,34,106.35,3549.25,0
No,11,97.85,1105.4,0
Yes,70,69.2,4872.35,1
Yes,17,20.75,418.25,1
No,63,79.85,4861.45,1
No,13,76.2,981.45,0
No,49,84.5,3906.7,0
No,2,49.25,97,0
No,2,80.65,144.15,0
No,43,90.25,3838.75,0
No,15,99.1,1426.4,0
No,8,80.65,633.3,0
Yes,60,74.85,4456.35,1
No,18,95.45,1752.55,0
Yes,66,108.45,7076.35,1
Yes,34,24.95,894.3,1
No,72,107.5,7853.7,1
No,47,100.5,4707.1,0
No,72,42.1,2962,0
Yes,18,54.4,957.1,0
No,9,94.4,857.25,0
No,3,75.3,244.1,0
No,47,78.9,3650.35,0
No,31,79.2,2497.2,0
Yes,50,20.15,930.9,0
No,10,79.85,887.35,0
No,1,49.05,49.05,0
Yes,52,20.4,1090.65,0
Yes,64,111.6,7099,1
Yes,62,24.25,1424.6,0
No,56,110.5,6139.5,1
Yes,8,54.65,482.25,0
Yes,45,25.9,1216.6,1
Yes,1,79.35,79.35,0
No,7,75.15,496.9,0
No,42,103.8,4327.5,0
No,49,20.15,973.35,0
No,9,99.3,918.75,0
Yes,48,20.65,1057,1
Yes,46,19.95,927.1,1
No,29,33.75,1009.25,0
Yes,30,82.05,2570.2,0
No,1,74.7,74.7,0
Yes,66,84,5714.25,1
No,65,111.05,7107,1
No,72,100.9,7459.05,1
No,12,78.95,927.35,0
Yes,71,66.85,4748.7,1
No,5,21.05,113.85,0
No,25,98.5,2514.5,0
No,1,20.2,20.2,0
Yes,1,19.45,19.45,1
No,38,95,3605.6,0
No,68,110,7611.85,1
No,5,24.3,100.2,0
Yes,72,104.15,7303.05,1
No,52,57.95,3042.25,0
No,37,76.5,2868.15,0
Yes,64,54.6,3423.5,1
Yes,3,89.85,248.4,0
Yes,10,100.25,1064.65,0
No,41,20.65,835.15,0
Yes,27,85.2,2151.6,0
Yes,56,99.8,5515.45,1
No,6,20.7,112.75,0
No,3,74.4,229.55,0
Yes,7,50.7,350.35,0
Yes,4,20.85,62.9,1
No,33,88.95,3027.65,0
No,27,78.05,2135.5,0
No,72,23.55,1723.95,0
No,1,19.75,19.75,0
No,71,56.45,3985.35,0
No,67,50.55,3260.1,0
No,1,35.45,35.45,0
No,2,44.35,81.25,0
No,43,25.7,1188.2,0
No,23,75,1778.5,0
No,1,70.45,70.45,0
No,8,71.15,563.65,0
No,61,101.05,5971.25,1
No,64,84.3,5289.05,0
No,71,23.95,1756.2,0
No,3,19.6,61.35,0
No,1,45.65,45.65,0
Yes,30,64.5,1929.95,0
Yes,15,69.5,1071.4,0
Yes,8,68.55,564.35,0
No,7,95,655.5,0
Yes,70,108.15,7930.55,1
Yes,6,19.7,113.5,1
Yes,14,80.9,1152.8,0
Yes,22,20.15,419.9,0
Yes,16,64.25,1024,0
No,10,25.7,251.6,0
No,20,82.4,1592.35,0
No,53,73.9,3958.25,0
No,69,19.9,1363.45,0
No,4,70.9,273,0
No,72,89.05,6254.45,1
No,58,45.3,2651.2,0
Yes,16,20.4,321.4,1
No,43,84.25,3539.25,0
No,2,104.4,242.8,0
No,53,94.85,5000.2,1
No,32,20.55,654.55,0
No,34,24.7,780.2,0
No,7,76.45,503.6,0
Yes,15,105.35,1559.25,0
No,61,20.55,1252,0
No,1,45.3,45.3,0
No,8,84.5,662.65,0
No,13,79.25,1111.65,0
No,1,24.8,24.8,0
No,20,51.8,1023.85,0
Yes,43,71.9,3173.35,0
Yes,69,19.75,1375.4,0
Yes,72,109.7,8129.3,1
Yes,59,19.3,1192.7,0
